Label,P0275,P50,P975
Objective_function,3602.254475,3618.92,3641.4445
SSB_Virgin,443219.5325,515263.5,610501.675
SSB_Initial,201629.46,274088.5,404466.25
SSB_1977,163905.0575,236250,363582.3
SSB_1978,189912.3175,264601.5,400288.35
SSB_1979,188331.48,261892,389557.2
SSB_1980,187441.5575,260492,378228.075
SSB_1981,224393.0325,312110,440611.025
SSB_1982,283151.86,395917.5,561275.35
SSB_1983,295754.8,413023,570286.075
SSB_1984,314988.7325,425875.5,576349.875
SSB_1985,344164.79,448753.5,583517.7
SSB_1986,389251.605,484925.5,608766.925
SSB_1987,415049.26,502488,608482.675
SSB_1988,431180.8725,515166,611227.1
SSB_1989,457159.325,532824.5,618057.225
SSB_1990,450375.955,521385,594539.525
SSB_1991,406972.6725,470361.5,526683.55
SSB_1992,371462.535,428021,479397.8
SSB_1993,357461.455,411241,461145.775
SSB_1994,366087.3675,421247,466855.6
SSB_1995,375780.4175,426467,469754.275
SSB_1996,338867.4525,382733.5,423960.175
SSB_1997,294305.4075,333594.5,371399.85
SSB_1998,231487.8375,263228,293911.25
SSB_1999,206024.975,233122.5,257766.5
SSB_2000,183427.1475,209964.5,234010.725
SSB_2001,172203.585,197636.5,221487.3
SSB_2002,170217.5025,194566.5,216273.7
SSB_2003,170445.685,192077,214321.875
SSB_2004,168565.82,188301,208215.925
SSB_2005,161313.22,179595,197898
SSB_2006,127027.215,138528,152488.95
SSB_2007,110682.9375,121459.5,135279.9
SSB_2008,100495.815,110827.5,123563.575
SSB_2009,108202.065,120275,134269.3
SSB_2010,132319.59,149938.5,167008.4
SSB_2011,158424.3425,179767.5,200111.775
SSB_2012,168093.0975,193356,216649.625
SSB_2013,167516.1025,195465.5,224210.325
SSB_2014,166937.885,199752.5,233580.675
SSB_2015,139327.9225,168553.5,197104.825
SSB_2016,132533.7475,158313,182026.75
SSB_2017,94534.57825,107750,121655.125
SSB_2018,80849.38775,94670.4,108121.675
SSB_2019,78006.94075,91600.8,105087.075
SSB_2020,57544.899,66206.1,78087.615
SSB_2021,65186.022,74357.5,86660.5525
SSB_2022,67111.1815,77764.4,92588.6625
SSB_2023,61103.39475,69008.4,80766.27
SSB_2024,57651.4945,66677.4,82303.115
SSB_2025,61715.327,79874.75,109611.825
SSB_2026,64608.96075,91515.2,134917.675
SSB_2027,59902.56125,93360.65,148771.55
SSB_2028,51878.2675,94697,155356.875
SSB_2029,48969.584,95849.2,162244.2
SSB_2030,50524.47275,97384.05,167893.125
SSB_2031,52868.21675,96282.45,162743.35
SSB_2032,51380.08275,95791.75,169023.95
SSB_2033,50394.87125,96512.45,166507.325
SSB_2034,52151.798,95727.15,170733.35
SSB_2035,51496.4735,93583.4,175058.55
SSB_2036,50079.20425,93549.25,173306.675
Recr_Virgin,420868.7825,568603.5,767699.15
Recr_Initial,198147.7325,306166,485685.05
Recr_1977,612368.19,1157700,1918393.5
Recr_1978,326165.0125,633968.5,1102695.25
Recr_1979,271891.47,476158,823092.675
Recr_1980,225199.9175,445334,740756.4
Recr_1981,614480.635,926139.5,1388965
Recr_1982,566073.0175,901544.5,1386447.75
Recr_1983,289126.67,529731.5,1008669
Recr_1984,360475.5225,646215,1020209.5
Recr_1985,724469.6625,1065545,1564886.75
Recr_1986,272745.065,433645,687244.4
Recr_1987,432936.3075,620291.5,858515.525
Recr_1988,491954.715,708574.5,954458.7
Recr_1989,539623.1825,745173.5,1055067.75
Recr_1990,543956.7,813136,1094623
Recr_1991,321326.835,486543,679986.725
Recr_1992,320237.005,472610.5,660208.275
Recr_1993,257796.9925,357450.5,515810.525
Recr_1994,289787.0225,432193,619093.15
Recr_1995,443873.7275,592478,792686.575
Recr_1996,260837.6,372450,508788.925
Recr_1997,271459.09,388695,543386
Recr_1998,216423.0175,303120.5,412929.1
Recr_1999,409729.9525,549484.5,736554.275
Recr_2000,422855.26,556624.5,740111.375
Recr_2001,347936.62,463539.5,623175.05
Recr_2002,207659.0375,292542,404239.8
Recr_2003,271830.705,352245,470527.15
Recr_2004,313464.395,411778.5,534231.275
Recr_2005,415351.34,530044.5,714146.5
Recr_2006,538480.5725,706141,887156.175
Recr_2007,362978.8175,476076.5,610324.7
Recr_2008,512753.8325,664826,862101.675
Recr_2009,255569.865,373249.5,503601.95
Recr_2010,310427.4075,428501,574047.15
Recr_2011,487615.04,678920,887131.525
Recr_2012,895073.035,1272385,1743075.5
Recr_2013,582442.58,868016.5,1288736
Recr_2014,205771.01,341861.5,571604.925
Recr_2015,114722.5325,201421.5,343132.95
Recr_2016,320353.49,489407.5,721387.9
Recr_2017,206246.4525,300575.5,429641.225
Recr_2018,238789.1675,343814,509552.175
Recr_2019,106023.2025,187779.5,320070.775
Recr_2020,177678.9225,293697,486857.3
Recr_2021,175928.595,406455.5,889690.6
Recr_2022,180848.085,478274.5,1181126
Recr_2023,189522.275,451608,1118142.25
Recr_2024,172071.5125,436019,1030544.925
Recr_2025,190045.235,455929,1172731
Recr_2026,183717.035,480500,1170707
Recr_2027,177162.5,441994.5,1193627.25
Recr_2028,184848.63,477532,1112699
Recr_2029,177874.4775,445323.5,1196432.5
Recr_2030,189288.1375,467472.5,1127288.5
Recr_2031,178476.0675,436729,1092020.75
Recr_2032,187678.965,441348.5,1187150.25
Recr_2033,181351.6675,435726,943204.775
Recr_2034,195623.53,470066,1073347.5
Recr_2035,191927.4925,460832.5,1093854.75
Recr_2036,181252.94,412937.5,977429.525
SPRratio_1977,0.016990677,0.0260269,0.038180045
SPRratio_1978,0.087208629,0.1270835,0.179573075
SPRratio_1979,0.107346338,0.1503155,0.2092074
SPRratio_1980,0.20474933,0.274841,0.36631705
SPRratio_1981,0.16747813,0.2315445,0.30893885
SPRratio_1982,0.135641748,0.1842645,0.246229025
SPRratio_1983,0.158378055,0.2087825,0.273837225
SPRratio_1984,0.096728374,0.126706,0.1673197
SPRratio_1985,0.060961315,0.0789663,0.103409
SPRratio_1986,0.104040898,0.1307985,0.162248
SPRratio_1987,0.135911808,0.166052,0.208234475
SPRratio_1988,0.137668328,0.163636,0.1951957
SPRratio_1989,0.179394678,0.214149,0.2604587
SPRratio_1990,0.248575265,0.28483,0.3344371
SPRratio_1991,0.278990063,0.315388,0.36961685
SPRratio_1992,0.309294635,0.34645,0.40436605
SPRratio_1993,0.242165163,0.2742345,0.322244725
SPRratio_1994,0.21477081,0.2428,0.284503375
SPRratio_1995,0.28283534,0.3175485,0.365505725
SPRratio_1996,0.300289765,0.338747,0.387513675
SPRratio_1997,0.285078418,0.3234315,0.37485355
SPRratio_1998,0.3110618,0.350383,0.399977825
SPRratio_1999,0.426398023,0.4686915,0.518331475
SPRratio_2000,0.393666218,0.4332735,0.48395765
SPRratio_2001,0.323734458,0.362354,0.41313035
SPRratio_2002,0.329429005,0.365268,0.416362375
SPRratio_2003,0.319778238,0.360431,0.4124655
SPRratio_2004,0.386331933,0.4267205,0.473981775
SPRratio_2005,0.2751376,0.3133945,0.36076525
SPRratio_2006,0.447227213,0.486782,0.52836915
SPRratio_2007,0.524420095,0.5639285,0.607319325
SPRratio_2008,0.569783928,0.6106085,0.652586125
SPRratio_2009,0.511871028,0.552844,0.599405325
SPRratio_2010,0.549046225,0.5907685,0.642412075
SPRratio_2011,0.533442768,0.5759745,0.629322175
SPRratio_2012,0.494785003,0.539203,0.5981363
SPRratio_2013,0.452945928,0.5002225,0.560512975
SPRratio_2014,0.361540993,0.4251355,0.49960445
SPRratio_2015,0.32229546,0.388723,0.46965205
SPRratio_2016,0.228440333,0.2856045,0.3615559
SPRratio_2017,0.519892108,0.5612965,0.618364325
SPRratio_2018,0.23848491,0.2699525,0.3203918
SPRratio_2019,0.13081125,0.1612675,0.205065375
SPRratio_2020,0.169632858,0.194873,0.22789815
SPRratio_2021,0.427539923,0.4745405,0.52307275
SPRratio_2022,0.30638779,0.3521785,0.405507725
SPRratio_2023,0.28996018,0.3263345,0.36547495
SPRratio_2024,0.287988445,0.3246685,0.36981895
SPRratio_2025,0.30063119,0.364688,0.4426194
SPRratio_2026,0.30108049,0.3920775,0.4785269
SPRratio_2027,0.29956738,0.4032795,0.524464275
SPRratio_2028,0.29823477,0.404875,0.55260575
SPRratio_2029,0.292536335,0.402526,0.5640147
SPRratio_2030,0.282843878,0.3962335,0.555975275
SPRratio_2031,0.277020368,0.40252,0.55354815
SPRratio_2032,0.282606385,0.399412,0.553509575
SPRratio_2033,0.274876923,0.4018445,0.559011675
SPRratio_2034,0.27305666,0.4030365,0.559900775
SPRratio_2035,0.269539815,0.4073635,0.55531305
SPRratio_2036,0.265049165,0.411784,0.572643575
F_1977,0.005081245,0.008111595,0.013918338
F_1978,0.026638436,0.04043715,0.058303473
F_1979,0.034666862,0.0528289,0.082589603
F_1980,0.07822622,0.115936,0.1778579
F_1981,0.055130517,0.0793969,0.11067345
F_1982,0.042400803,0.0588719,0.08346207
F_1983,0.056272287,0.0757244,0.106502725
F_1984,0.036643932,0.04953055,0.067343218
F_1985,0.030362586,0.04326575,0.07322365
F_1986,0.047475302,0.06377705,0.10273495
F_1987,0.042871719,0.0580916,0.20525945
F_1988,0.04745726,0.0569996,0.06931906
F_1989,0.055033076,0.07009395,0.12543035
F_1990,0.16079082,0.184442,0.218742925
F_1991,0.189841303,0.216062,0.25536075
F_1992,0.216377713,0.2471115,0.2900626
F_1993,0.157369115,0.1785515,0.2086937
F_1994,0.130531955,0.147174,0.169707775
F_1995,0.196503028,0.2184075,0.252493275
F_1996,0.214454488,0.2386185,0.276684
F_1997,0.2559198,0.286402,0.3319308
F_1998,0.288543315,0.3223715,0.3756457
F_1999,0.370384255,0.4144595,0.487421575
F_2000,0.31580308,0.358276,0.419027125
F_2001,0.244070038,0.2785275,0.325364925
F_2002,0.25779196,0.291225,0.339381675
F_2003,0.34674548,0.388676,0.446187025
F_2004,0.389042088,0.43101,0.487883125
F_2005,0.473866225,0.5915205,0.798075825
F_2006,0.561884855,0.694138,0.910351425
F_2007,0.555642045,0.6370735,0.720440075
F_2008,0.671396735,0.775372,0.8926057
F_2009,0.53434864,0.618882,0.7170305
F_2010,0.626079678,0.7198545,0.848691225
F_2011,0.585573335,0.675297,0.792990375
F_2012,0.496897025,0.57417,0.693010925
F_2013,0.414351495,0.484721,0.5976242
F_2014,0.559520358,0.6582345,0.828230525
F_2015,0.634240698,0.735442,0.904398475
F_2016,0.615295583,0.704607,0.8311451
F_2017,0.568939543,0.706815,0.88272765
F_2018,0.181421363,0.219223,0.270771675
F_2019,0.21623826,0.2622995,0.3165484
F_2020,0.102433985,0.124039,0.14830605
F_2021,0.35915482,0.439373,0.532373825
F_2022,0.316754498,0.4105975,0.535931675
F_2023,0.293611403,0.358064,0.4529047
F_2024,0.281969698,0.347121,0.4411135
F_2025,0.309019198,0.415759,0.60982915
F_2026,0.320595653,0.4815135,0.7054054
F_2027,0.319825403,0.5094765,0.851182975
F_2028,0.315383625,0.516417,0.97854415
F_2029,0.30524773,0.5072645,1.01978675
F_2030,0.2864896,0.501901,0.975400325
F_2031,0.287004258,0.5049665,0.984347175
F_2032,0.286624958,0.5107435,1.02621525
F_2033,0.283805943,0.5109335,1.01950725
F_2034,0.272295045,0.5034705,0.996236125
F_2035,0.272604505,0.5170885,0.98278955
F_2036,0.269708508,0.5269255,1.066059
Bratio_1978,0.373636633,0.5225925,0.75733235
Bratio_1979,0.368287163,0.5140515,0.73428365
Bratio_1980,0.369446618,0.5115375,0.7123647
Bratio_1981,0.443390978,0.6055185,0.8311261
Bratio_1982,0.56689189,0.760084,1.05222775
Bratio_1983,0.593930325,0.7932725,1.072082
Bratio_1984,0.627770955,0.828187,1.10307625
Bratio_1985,0.673275288,0.873461,1.1383855
Bratio_1986,0.748882608,0.9387345,1.1881225
Bratio_1987,0.800214468,0.969517,1.21476675
Bratio_1988,0.83396368,0.987023,1.21241425
Bratio_1989,0.868861035,1.02704,1.23829
Bratio_1990,0.844388445,1.002465,1.19190225
Bratio_1991,0.764768153,0.901127,1.05912475
Bratio_1992,0.695092238,0.825872,0.9676126
Bratio_1993,0.672196553,0.7993685,0.92904925
Bratio_1994,0.682433558,0.815784,0.9536912
Bratio_1995,0.694661598,0.8275755,0.9596504
Bratio_1996,0.622146553,0.7430325,0.856567325
Bratio_1997,0.544158755,0.646903,0.745107625
Bratio_1998,0.432135253,0.510319,0.594090275
Bratio_1999,0.379390013,0.4494145,0.53173185
Bratio_2000,0.340432115,0.405442,0.483841
Bratio_2001,0.32281023,0.380049,0.4515268
Bratio_2002,0.319327213,0.374638,0.439787875
Bratio_2003,0.316832983,0.3702445,0.436187925
Bratio_2004,0.315263883,0.3633465,0.426174925
Bratio_2005,0.29776865,0.3482975,0.406689025
Bratio_2006,0.226870563,0.268325,0.3215102
Bratio_2007,0.198357598,0.2364375,0.2832303
Bratio_2008,0.181956955,0.2143335,0.2568277
Bratio_2009,0.19796637,0.2321685,0.2765934
Bratio_2010,0.246898243,0.289216,0.346487
Bratio_2011,0.295703,0.3457245,0.411180875
Bratio_2012,0.316271703,0.3725885,0.44213515
Bratio_2013,0.31782381,0.376521,0.446963075
Bratio_2014,0.3277434,0.384906,0.455743475
Bratio_2015,0.271896938,0.326208,0.384153275
Bratio_2016,0.256327473,0.3062885,0.3588915
Bratio_2017,0.172544743,0.2098075,0.24805905
Bratio_2018,0.148191305,0.183631,0.222136625
Bratio_2019,0.14362722,0.1776865,0.214912725
Bratio_2020,0.10408564,0.129054,0.160927325
Bratio_2021,0.117007285,0.144254,0.1788283
Bratio_2022,0.121303955,0.1507415,0.189327475
Bratio_2023,0.110785015,0.13408,0.163517925
Bratio_2024,0.108168115,0.1300855,0.161511525
Bratio_2025,0.11822041,0.15586,0.218724025
Bratio_2026,0.125593805,0.1766965,0.262432775
Bratio_2027,0.114578623,0.184379,0.290400425
Bratio_2028,0.102508818,0.1830165,0.30085155
Bratio_2029,0.097062709,0.1838855,0.321320725
Bratio_2030,0.100508345,0.1880615,0.31999915
Bratio_2031,0.10079159,0.186154,0.3130431
Bratio_2032,0.103603408,0.186027,0.3157697
Bratio_2033,0.098220153,0.18699,0.31775825
Bratio_2034,0.099291407,0.1855835,0.33455695
Bratio_2035,0.099598586,0.1837125,0.342589275
Bratio_2036,0.098096599,0.1810135,0.3458091
SSB_unfished,285281.6675,325879,372464.7
Totbio_unfished,447759.62,513485.5,596976.95
SmryBio_unfished,400325.6675,455109.5,523648.8
Recr_unfished,397546.335,533344,712501.425
SSB_Btgt,114112.425,130351.5,148985.525
SPR_Btgt,0.4,0.4,0.4
annF_Btgt,0.62617238,0.7099645,0.814696175
Dead_Catch_Btgt,61567.45875,72813.35,86536.2025
SSB_SPR,114112.425,130351.5,148985.525
annF_SPR,0.62617238,0.7099645,0.814696175
Dead_Catch_SPR,61567.45875,72813.35,86536.2025
SSB_MSY,114112.425,130351.5,148985.525
SPR_MSY,0.4,0.4,0.4
annF_MSY,0.62617238,0.7099645,0.814696175
Dead_Catch_MSY,61567.45875,72813.35,86536.2025
Ret_Catch_MSY,61567.45875,72813.35,86536.2025
B_MSY.SSB_unfished,0.4,0.4,0.4
ForeCatch_2022,14844.22775,21249,30717.595
ForeCatch_2023,13157.9215,16866.5,23249.4175
ForeCatch_2024,12149.6325,16387.4,23850.47
ForeCatch_2025,14367.8,23019.15,44264.3725
ForeCatch_2026,19779.10625,29489.5,50189.23
ForeCatch_2027,25626.82725,32291.5,43211.91
ForeCatch_2028,26313.8245,32895.35,41263.5625
ForeCatch_2029,26204.7045,32876.75,40981.0825
ForeCatch_2030,26119.99275,32836.05,40956.81
ForeCatch_2031,26112.82475,32806.05,40852.195
ForeCatch_2032,26116.0275,32794.35,40830.915
ForeCatch_2033,26118.17225,32795.65,40826.945
ForeCatch_2034,26118.88275,32796.7,40826.875
ForeCatch_2035,26119.08275,32796.9,40827.1425
ForeCatch_2036,26119.138,32796.9,40827.265
OFLCatch_2022,28530.5525,34418.95,42197.015
OFLCatch_2023,26385.28325,30678.9,36716.8725
OFLCatch_2024,25894.94125,30992.4,39483.62
OFLCatch_2025,28380.891,36678.95,52608.8475
OFLCatch_2026,32965.6075,41348.75,56673.01
OFLCatch_2027,36282.56325,43029.65,52234.76
OFLCatch_2028,36165.321,43611.85,52248.405
OFLCatch_2029,36351.01275,43648.05,52057.51
OFLCatch_2030,36321.66625,43622.2,52025.7575
OFLCatch_2031,36333.93075,43604.45,52039.5875
OFLCatch_2032,36337.3215,43598.6,52046.3025
OFLCatch_2033,36337.238,43597.6,52047.7575
OFLCatch_2034,36336.975,43597.65,52047.88
OFLCatch_2035,36336.91975,43597.75,52047.8025
OFLCatch_2036,36336.875,43597.75,52047.7025
ln.SPB._1977,12.00701925,12.37265,12.8037975
ln.SPB._1999,12.2357475,12.3593,12.45981
ln.SPB._2021,11.08504475,11.21665,11.3697425
